Codigo_Depto;Tag;Departamento;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
23;Cor;Córdoba;37,85702607;45,8372828;58,27525927;74,24470426;96,87651485;110,0685491;143,0639995;188,9587015;254,2408253;319,8750061;405,3688516;544,1498556;732,2379952;971,5456119;1229,79372;1562,85687;1915,291303;2351,322104;2846,985246;3359,752101;3652,658562;3954,183345;4204,407805;4910,50552;5583,513709;6023,182902;6803,005483;8192,763953;8202,446657;8472,974976;9010,538346;9757,804504;10779,26691;11696,56314;12912,72279;13656,5673;14661,59493;15792,56363;16800,14009;18278,68997;17892,89136;21120,85802;25603,16274
25;Cun;Cundinamarca;113,1911389;133,408404;182,8601988;218,7917948;282,2398797;363,6520997;488,7695878;607,4887917;861,0662363;1085,534035;1368,613729;1807,369904;2306,136331;3110,201314;3965,676137;4968,029601;6185,491809;7559,126321;8725,533874;9453,899843;11123,39164;12936,78573;14016,70694;16133,98236;17451,961;19546,12276;21386,53474;24213,56153;27379,26492;29326,80644;31675,62684;35465,02449;38213,8157;40742,22156;43758,94166;48055,14651;53515,87795;55731,03976;59084,77742;63112,19819;61314,81726;73399,5974;91648,26286
41;Hui;Huila;33,83943675;42,35118634;55,693891;69,9313804;100,2271297;134,796772;163,3305783;221,8357895;290,9719582;377,230306;538,3830729;678,7065672;863,4390667;1086,635918;1384,80636;1666,226558;2017,786446;2351,299654;2584,396502;3004,832159;3691,097786;3759,199982;4148,428958;4751,280953;5677,525363;6075,571951;6576,913085;7186,912631;8491,332264;8587,106501;9561,725567;11262,86551;11689,55069;12413,57311;13383,48339;13805,32397;14693,32233;15222,31599;15989,26331;17197,917;16652,93792;19731,56315;24459,53564
44;LaG;La Guajira;11,50242574;15,69723465;22,26127227;30,51792468;40,83862522;66,71489468;92,88143338;126,3465291;166,1471042;262,7217737;398,5254681;499,0478617;566,2572265;673,9300935;798,4532013;831,4232214;1072,214879;1289,670101;1403,353359;1463,421653;1641,353234;2156,088835;1978,437315;2597,631711;3376,021788;4199,264618;4758,813486;4961,205374;6488,155324;6792,355404;6930,999569;8080,173995;8473,430771;8187,840758;8360,965733;8665,8141;9442,274699;10784,6089;11881,87782;11225,06963;8708,805357;14472,67884;22271,65649
47;Mag;Magdalena;28,46177872;35,22187181;43,53006902;51,8223017;63,01966925;84,87451168;111,7618466;139,2861108;195,5685476;243,6755941;327,80782;430,432714;584,4220879;759,8702371;1028,98957;1319,119555;1579,006949;1859,716399;2174,941467;2293,831035;2417,314193;2755,578841;3056,723404;3331,311766;3693,81729;4323,062244;4690,697001;5238,777997;6100,408205;6856,889562;7269,826918;7761,431791;8479,979941;9319,121885;9549,745069;10513,57745;11691,73142;12422,28185;13233,30348;14147,6578;13840,79269;16344,37918;20001,87127
50;Met;Meta;32,33873609;42,04860038;55,09884795;65,81361391;82,93058572;113,8178676;159,2636883;222,3696807;312,9549386;439,3809381;579,9983593;768,6970269;973,4271237;1247,145505;1578,740254;1969,78681;2402,069938;2914,65051;3146,03988;3631,720428;4279,147811;4534,70073;5018,382914;5871,816636;6810,285993;7952,542025;9656,126613;10623,26498;15252,70584;16835,92383;23608,04395;35741,19514;39465,57685;42213,62837;37363,5322;30712,1626;26335,37608;30238,58629;35330,92635;38495,85367;30525,10157;40272,7914;55686,09063
52;Nar;Nariño;27,186977;33,88262959;45,61990691;57,893826;70,66193678;93,9810977;126,5673134;163,3682124;217,8752452;286,3346945;366,3742381;491,5261788;643,2587072;837,5148677;1105,256886;1324,010288;1658,52276;1957,326959;2363,476043;2593,54969;2878,64816;3167,103811;3543,501885;4066,880112;4679,516678;5169,190676;5989,033995;6516,66175;6915,338705;7418,009257;7703,606403;8552,743334;9342,660712;10148,91463;10991,2267;12229,74298;13892,97526;14061,81483;14834,91334;15907,4006;15702,34717;18236,89732;21560,24137
54;Nor;Norte de Santander;38,23719395;47,6088343;59,80624122;72,25313624;86,63996367;128,1464556;176,9313139;200,2864028;271,2530719;344,245791;448,4176821;563,9093838;728,5783771;938,2110415;1174,930367;1480,310866;1760,304955;2117,138494;2463,049315;2816,388486;3108,235333;3401,913679;3876,2508;4269,566927;4702,961526;5098,198135;5987,274146;6756,326097;7712,421029;8301,86554;8697,738487;9408,132259;9896,699612;10747,05323;11642,74233;12534,02487;13810,52603;14445,49556;15442,66754;16288,62547;15813,8933;18600,62372;23222,39857
63;Qui;Quindío;38,11834717;34,82986031;46,35322106;50,21142084;60,94628748;79,93959444;114,7408192;137,9251143;179,9619709;203,5071509;263,1322868;381,4442202;454,6379791;553,0568912;776,190779;975,3926135;1066,005337;1424,561573;1602,895365;1672,260406;1793,663777;2000,495755;2071,117183;2199,002168;2387,919266;2749,611297;3255,132708;3549,387345;3834,186579;4018,17556;4280,828447;4767,0234;5242,262343;5460,35434;5720,352538;6380,692345;7133,132378;7633,452025;7950,511941;8532,656269;8274,92112;9866,04633;12119,97103
66;Ris;Risaralda;39,08542536;45,34947115;59,29403143;73,92912503;89,33908468;121,7651824;169,7937303;210,1799805;288,0011053;376,9623021;469,9617021;627,82919;786,6390547;1046,459875;1313,1167;1647,326765;1922,953931;2358,496173;2762,356518;2824,358196;3080,795254;3412,985489;3653,724447;4139,100282;4756,889278;5511,516319;6342,319171;6851,839734;7438,184244;7969,27421;8420,282877;8979,657554;9629,118309;10612,87941;11727,87361;12655,73442;13890,50066;14922,39608;15876,72965;17078,04138;16410,22777;19413,28074;23873,91645
